skill_dribbling,skill_curve,skill_ball_control,skill_moves,age,height_cm,weight_kg,power_strength
12,10,19,1,27,196,81,68
66,45,71,2,27,189,78,78
90,77,88,4,26,175,70,55
58,44,62,2,36,188,81,83
81,84,85,3,32,170,61,60
12,17,15,1,32,188,93,76
15,11,18,1,32,192,80,66
84,80,85,3,31,183,73,67
58,29,60,2,31,186,85,87
77,74,79,3,32,179,78,63
84,84,89,4,30,180,76,56
59,46,71,2,30,192,86,85
15,12,25,1,30,183,79,68
76,65,85,2,33,193,80,81
85,76,85,4,28,175,69,72
82,73,85,4,30,186,80,76
76,64,79,3,33,190,85,87
76,76,83,3,32,180,75,83
64,53,70,2,30,192,90,91
69,68,77,2,29,178,76,70
82,73,85,3,32,178,73,54
84,85,88,4,28,180,80,73
80,66,84,4,30,183,80,82
79,76,78,2,29,183,70,77
82,81,83,4,28,176,65,67
92,84,91,5,28,172,70,58
81,83,83,3,29,177,72,59
85,85,88,4,30,181,76,70
88,85,88,4,31,190,79,72
90,84,90,5,28,179,67,54
81,74,84,4,29,172,63,58
57,32,64,2,30,190,83,88
85,75,85,4,23,189,70,69
65,36,70,2,24,188,78,80
85,82,86,4,23,177,68,70
76,82,82,3,20,180,69,62
81,77,83,3,21,182,85,78
76,74,81,4,25,186,78,80
87,84,86,4,23,184,76,74
82,86,84,4,25,190,80,72
55,30,64,2,23,195,97,93
77,66,82,3,24,181,81,76
18,23,16,1,24,189,77,52
86,76,81,4,22,179,68,68
86,79,82,4,24,183,73,68
69,46,76,2,23,187,91,84
85,82,83,5,21,186,70,75
69,47,80,3,25,188,70,77
79,73,84,3,24,192,80,83
84,85,83,3,23,171,69,63
83,63,84,3,23,180,75,65
85,85,86,4,23,171,62,64
63,30,73,2,23,187,79,83
85,83,87,4,23,182,76,61
78,81,83,3,25,178,74,69
87,78,88,4,25,187,77,66
14,18,40,1,25,185,77,70
88,81,87,4,25,180,71,59
77,41,80,3,26,187,86,91
14,20,23,1,27,197,86,72
90,57,87,5,26,180,66,74
78,85,82,3,25,175,72,64
83,76,82,3,26,189,84,79
76,57,80,3,25,190,82,89
78,80,81,3,27,187,83,91
88,82,88,5,25,185,77,67
50,51,71,2,27,178,72,79
78,77,84,4,27,181,71,38
10,14,24,1,28,189,86,73
68,66,78,3,28,184,73,73
86,84,85,4,27,174,70,57
12,10,32,1,30,185,83,67
88,71,83,4,26,174,70,57
82,84,84,4,26,179,70,66
81,75,85,3,27,180,67,66
26,20,28,1,41,192,92,69
25,25,23,1,38,185,84,70
11,10,23,1,34,190,86,70
63,61,70,2,33,190,85,87
59,53,71,2,33,190,82,81
79,78,84,4,36,180,79,74
12,13,40,1,32,189,89,64
74,81,81,3,33,177,72,72
67,32,71,2,34,186,78,77
84,84,85,4,30,177,77,67
60,55,70,2,32,189,90,90
20,10,23,1,31,190,84,77
83,73,84,3,31,176,77,76
83,83,85,4,31,174,71,67
77,62,82,2,30,188,86,90
80,64,83,2,32,189,90,87
66,70,79,3,32,189,86,79
83,82,86,4,31,180,76,73
76,80,81,3,29,182,80,74
82,87,85,3,29,186,77,65
81,70,83,3,28,183,76,67
78,76,83,3,29,179,75,68
75,84,82,3,29,180,72,74
10,11,20,1,29,192,85,55
51,50,70,2,31,183,81,79
90,78,85,5,31,179,72,58
76,45,79,3,29,174,66,69
86,78,84,3,28,178,67,47
82,83,82,4,28,182,77,71
79,75,83,3,30,171,70,64
85,80,84,4,28,170,68,59
65,62,72,3,31,192,88,86
76,48,78,3,27,188,83,89
86,79,85,4,28,177,73,67
75,59,74,4,27,188,83,87
56,45,70,2,27,185,80,73
85,86,83,4,27,177,75,70
85,69,84,3,22,181,78,57
86,78,82,4,21,178,79,59
86,76,85,4,22,175,73,63
86,78,89,4,25,176,78,63
78,64,75,3,25,181,72,82
14,14,15,1,24,193,78,66
88,64,88,4,24,172,64,57
78,70,81,3,23,168,64,66
75,84,82,3,22,180,80,67
58,50,78,2,23,189,80,84
87,77,85,4,21,178,78,80
26,30,38,1,23,187,93,67
80,61,80,4,25,177,67,65
12,16,22,1,26,195,94,80
19,15,23,1,26,188,77,52
64,45,65,2,24,190,84,78
87,82,87,4,24,171,68,64
83,76,77,4,25,186,79,85
83,72,81,4,23,175,70,59
87,82,81,5,24,173,74,48
11,20,23,1,28,186,78,55
79,68,81,3,26,185,77,81
86,85,85,4,25,182,72,67
69,63,70,2,27,194,90,80
88,87,89,4,25,176,70,55
47,34,68,2,28,187,79,77
60,35,69,2,26,190,85,82
13,20,15,1,27,186,81,75
82,78,81,3,25,175,70,66
73,68,78,3,26,172,65,74
16,23,19,1,26,192,85,76
15,23,14,1,30,189,87,73
87,76,86,4,26,170,66,45
85,81,90,4,27,176,75,72
74,71,77,3,27,182,79,77
19,12,17,1,29,187,82,69
76,68,80,4,27,189,93,90
78,78,82,4,27,178,68,69
83,59,78,3,26,181,83,77
79,79,79,3,26,179,83,82
55,55,78,2,29,180,76,79
60,57,69,2,28,187,79,82
80,75,81,3,26,175,80,76
69,38,75,2,26,194,100,90
86,83,84,4,26,175,71,61
82,81,87,4,27,179,74,59
83,79,81,3,26,184,82,75
83,79,84,4,25,171,67,43
87,76,83,4,26,172,66,40
10,11,23,1,36,188,92,72
64,62,77,2,35,184,83,78
76,61,82,3,38,182,78,82
83,82,82,4,33,170,60,33
83,86,87,4,34,168,65,57
76,67,78,3,29,185,80,74
80,71,84,3,33,178,63,61
14,18,22,1,34,190,83,65
18,14,22,1,33,195,90,58
81,85,86,4,31,170,63,34
70,70,83,3,32,193,92,89
46,52,70,2,30,191,84,81
88,83,82,4,30,175,78,59
67,66,73,3,33,192,84,86
84,79,85,4,30,192,83,84
85,79,84,4,30,169,62,71
82,67,84,4,29,172,68,74
80,85,77,3,33,187,81,74
81,75,85,4,28,189,88,83
87,82,88,5,31,174,69,76
87,52,85,4,31,172,64,67
68,61,75,2,30,196,89,92
83,78,85,4,29,181,75,63
84,81,85,4,31,169,65,47
66,63,77,2,28,188,86,84
84,85,86,5,26,178,72,56
78,79,82,3,29,182,73,70
86,88,84,5,27,169,72,71
80,66,79,3,28,187,80,75
64,39,62,2,28,196,92,94
80,78,82,3,28,182,74,76
75,74,82,3,27,191,90,85
86,70,84,4,29,184,81,70
82,79,84,4,26,175,62,62
84,75,81,5,27,174,72,60
74,65,74,3,32,179,74,68
77,48,81,3,28,189,88,94
88,82,84,4,31,180,70,67
9,9,21,1,31,190,85,79
60,72,64,2,35,181,82,79
77,54,76,2,31,175,70,68
56,45,72,2,27,185,80,73
83,86,80,4,27,177,75,70
82,76,82,4,21,174,81,84
84,78,84,4,21,175,70,61
88,67,86,4,22,181,76,78
70,60,71,2,21,186,78,77
13,11,21,1,25,184,78,55
78,77,84,3,22,184,74,77
71,64,76,3,24,187,80,78
85,73,85,4,22,179,70,63
80,70,82,4,23,178,67,67
80,64,83,3,25,184,82,83
79,80,81,4,24,172,66,61
88,70,86,5,22,175,66,64
85,80,85,4,25,180,75,57
14,19,15,1,27,189,84,73
70,76,80,3,26,185,82,77
86,75,83,4,26,174,71,66
79,62,82,4,26,188,80,92
79,74,81,3,25,177,77,75
82,76,80,3,23,181,75,75
76,68,79,3,26,170,69,74
78,41,80,3,26,184,76,80
74,58,76,3,22,183,74,74
20,12,22,1,26,192,90,67
53,28,59,2,26,186,83,85
78,78,79,4,26,181,79,77
76,71,76,3,25,193,78,79
82,83,81,3,25,163,70,50
62,44,72,2,25,191,89,82
85,84,85,4,25,170,71,49
84,74,85,4,26,179,73,65
78,67,81,4,27,177,80,66
62,26,66,2,27,183,78,77
80,79,83,3,26,181,68,62
85,80,86,4,27,182,74,59
90,85,85,5,26,173,62,39
17,21,25,1,30,180,76,54
14,17,20,1,30,188,85,73
62,71,76,2,28,186,80,82
79,70,80,3,27,180,77,72
65,40,78,3,26,197,84,86
87,94,86,5,35,175,67,59
65,82,62,2,35,189,84,87
77,81,80,3,33,175,70,70
79,78,82,4,36,174,72,76
78,61,79,4,33,184,77,83
89,65,88,4,31,185,85,90
76,78,83,3,32,179,77,61
10,15,23,1,32,189,82,51
62,31,68,2,33,186,75,75
52,30,60,2,33,192,86,89
82,80,81,4,31,186,86,76
58,33,64,2,35,187,81,82
80,78,85,4,32,169,67,60
72,80,76,2,34,184,79,78
76,74,78,3,32,172,70,64
81,84,84,4,32,175,77,72
68,83,84,3,32,177,76,69
12,11,15,1,32,190,92,77
62,48,65,2,31,188,77,78
25,14,23,1,33,190,74,68
84,75,80,3,29,187,91,90
75,67,79,3,34,184,75,74
68,65,75,3,31,183,76,82
82,86,81,4,31,173,66,46
86,90,86,4,32,163,61,42
68,42,73,3,31,187,78,81
68,37,72,2,29,184,77,77
76,72,78,3,30,194,85,84
78,85,83,3,28,188,87,76
83,82,83,4,30,177,75,59
75,78,79,3,28,185,80,80
78,73,79,4,28,173,67,63
82,74,83,4,31,182,71,68
85,79,86,4,30,186,82,77
82,82,81,4,28,173,70,57
73,61,80,3,29,180,80,73
87,87,85,4,27,172,69,81
82,56,82,4,31,171,63,48
60,72,64,2,35,181,82,77
82,56,82,4,31,171,63,48
74,59,73,3,27,188,83,87
75,53,76,4,30,188,84,91
82,81,80,5,19,181,70,64
80,73,82,3,22,175,68,58
67,41,70,3,22,188,77,79
66,32,73,2,23,187,81,73
22,14,24,1,23,191,89,76
78,85,81,4,22,176,72,63
66,68,76,2,24,184,75,75
78,69,80,3,22,180,76,68
62,20,63,2,25,187,80,78
84,73,82,3,23,176,74,61
72,60,76,3,24,183,77,76
84,76,84,4,22,178,73,71
68,55,78,3,24,184,74,75
80,72,76,4,24,180,73,78
81,74,82,3,21,167,63,59
57,33,63,2,22,186,82,79
19,12,28,1,23,187,79,70
77,63,78,3,24,178,74,58
79,80,78,3,24,185,85,79
75,69,79,4,22,183,74,86
13,17,23,1,25,188,77,68
79,69,79,3,23,181,77,71
84,76,82,4,23,174,68,58
87,79,86,4,24,188,77,72
76,51,77,3,24,189,85,86
78,64,81,3,22,181,75,75
76,69,77,3,23,176,66,64
74,68,78,3,22,186,84,85
80,75,83,4,25,180,71,68
50,60,63,2,24,190,96,92
78,79,82,4,25,180,75,69
69,62,74,2,24,180,75,78
73,40,77,3,25,182,70,67
83,81,82,4,25,188,84,83
83,70,85,4,24,181,80,74
74,63,79,3,23,186,72,62
79,76,82,3,24,172,70,58
53,56,72,2,24,183,78,75
80,72,79,3,25,188,82,80
76,82,78,3,26,180,77,73
84,73,84,4,25,175,70,70
78,81,82,4,26,179,70,71
67,67,75,2,27,184,78,75
89,84,86,4,25,177,73,54
84,78,86,4,26,170,67,57
16,14,20,1,28,194,81,59
66,53,68,2,26,191,82,86
82,84,84,4,26,168,67,50
82,78,82,4,24,182,67,49
15,19,14,1,26,191,91,80
80,76,78,4,25,185,78,83
60,46,62,3,25,186,77,86
83,74,81,4,25,174,63,53
80,68,80,3,25,174,67,56
86,76,85,4,26,167,59,39
15,13,34,1,28,189,88,66
13,23,24,1,27,184,82,68
59,49,72,2,27,185,80,78
78,75,84,4,26,195,80,76
54,58,63,2,26,184,83,83
43,72,65,2,26,188,83,78
81,74,82,3,25,187,82,82
78,63,77,4,27,180,66,75
63,42,74,2,28,188,77,80
73,61,82,3,26,179,70,69
76,57,77,3,27,182,81,79
71,54,79,3,28,191,76,71
53,72,70,2,28,182,77,79
82,67,83,3,27,178,70,70
77,78,80,4,27,178,75,63
85,92,86,4,25,178,76,52
77,74,79,4,27,182,76,78
71,77,75,3,27,187,82,79
82,64,84,4,27,187,81,73
19,15,35,1,30,190,80,60
8,20,9,1,27,194,94,79
85,86,83,4,37,179,75,64
74,82,80,3,33,176,83,78
13,16,24,1,35,188,83,57
88,86,87,5,32,177,70,56
58,63,80,2,35,174,73,70
11,10,23,1,37,196,89,66
15,19,22,1,33,186,78,72
73,77,72,3,33,187,91,91
73,62,81,3,37,188,72,88
13,12,12,1,31,187,88,65
62,59,73,2,33,181,80,78
14,15,25,1,36,193,90,57
17,15,28,1,33,187,92,66
15,13,17,1,34,185,80,61
78,78,81,4,35,179,76,70
66,45,69,3,32,183,79,71
80,66,80,3,28,174,76,70
84,83,83,4,27,184,80,67
78,72,83,3,32,184,83,82
60,52,67,2,36,198,91,80
76,81,80,3,30,181,74,72
12,12,40,1,32,192,86,75
83,87,84,4,32,183,73,63
86,80,84,5,34,180,76,74
12,10,32,1,30,183,80,38
70,83,80,3,32,166,63,69
82,82,82,3,34,165,63,37
71,49,75,2,30,185,81,76
58,33,60,2,30,186,81,76
76,67,80,3,30,190,87,78
74,82,80,4,32,176,70,67
15,18,24,1,30,197,98,79
48,46,70,2,32,195,85,89
68,70,76,3,35,180,72,68
63,36,75,2,29,185,80,93
88,72,88,4,30,179,70,56
77,69,79,4,31,187,91,91
85,67,82,4,29,176,75,59
74,86,80,3,28,173,71,64
65,53,67,3,28,180,73,73
73,70,76,3,29,182,80,75
78,77,82,4,30,181,80,69
76,77,78,4,29,187,80,75
70,70,80,2,30,196,75,92
77,68,81,3,28,177,74,77
85,78,79,4,32,179,92,91
72,73,78,3,29,186,80,81
59,49,58,2,29,194,81,88
51,35,58,2,31,190,80,90
85,79,84,4,28,172,66,63
11,24,19,1,34,191,84,80
67,50,71,2,27,194,85,85
86,78,84,4,28,182,77,62
84,78,83,4,29,179,75,63
74,55,81,4,29,181,77,83
63,26,67,2,29,188,84,82
81,84,83,4,26,171,61,46
85,77,83,4,28,179,79,75
53,44,66,2,30,184,76,78
82,85,81,4,29,177,72,66
82,86,83,3,27,182,75,58
84,82,79,4,27,178,65,61
83,65,81,4,29,177,78,75
79,77,80,3,28,184,80,66
62,33,70,2,28,196,85,90
77,71,79,4,28,186,84,88
74,70,79,3,27,181,76,72
83,77,84,4,27,170,73,52
77,73,76,3,28,188,81,78
84,78,84,4,26,164,60,30
64,60,78,3,29,181,76,76
19,14,32,1,32,189,88,82
81,59,82,4,29,183,83,85
79,81,80,3,27,179,76,69
79,55,78,3,30,185,79,79
64,58,66,3,28,186,83,90
75,48,77,2,35,177,75,71
77,83,78,4,31,178,69,68
9,9,21,1,31,190,85,79
75,48,77,3,35,177,75,71
77,83,78,4,31,178,69,68
86,77,82,5,18,176,73,60
84,68,85,4,22,187,72,65
84,80,80,4,21,180,72,71
80,47,75,4,21,183,72,69
14,13,10,1,20,193,82,70
69,28,69,3,20,192,93,83
81,75,83,3,23,186,83,76
77,68,79,3,21,195,94,91
77,70,80,3,23,186,77,66
84,74,81,4,21,175,70,60
82,72,83,4,21,179,72,54
82,65,82,4,25,182,75,66
90,70,81,5,22,173,67,66
77,72,76,4,23,174,78,73
65,54,69,3,22,186,76,72
85,69,83,4,20,177,69,51
78,58,79,3,22,183,76,87
83,65,79,3,20,181,73,73
69,55,74,3,23,177,68,73
72,66,79,3,22,184,74,66
50,37,51,2,20,196,90,92
80,69,81,4,21,177,69,47
72,53,75,3,24,180,72,79
84,60,81,4,23,191,88,83
77,68,82,4,24,170,64,59
67,35,70,2,24,184,80,79
70,37,75,2,23,189,83,75
83,75,82,4,23,180,69,56
75,47,77,3,23,186,79,76
66,58,76,3,23,186,76,75
84,74,80,3,23,177,73,58
78,65,79,3,22,178,77,68
75,57,80,3,22,191,94,95
73,63,75,3,24,192,86,83
75,65,76,3,22,184,78,74
75,91,82,3,24,173,66,56
85,80,82,4,24,186,76,57
85,80,83,4,24,172,71,56
65,43,70,2,24,190,88,79
84,68,84,4,23,185,75,72
75,62,77,3,23,186,83,83
81,81,82,4,23,175,69,66
82,83,80,4,22,175,69,74
78,79,82,4,22,175,73,49
77,69,80,4,23,185,79,73
84,74,80,4,22,181,71,77
83,79,78,4,24,164,64,33
83,81,80,4,22,176,68,63
65,60,70,2,25,190,90,92
82,81,80,4,24,172,67,60
75,64,77,4,25,170,70,59
76,74,79,4,24,180,73,76
70,66,77,3,24,179,70,74
74,76,77,3,24,178,73,71
78,47,81,3,23,187,77,72
52,46,64,2,27,187,80,83
83,68,84,4,25,185,87,76
58,38,63,2,27,182,78,80
61,54,68,2,26,192,81,81
16,12,23,1,26,189,87,64
15,13,24,1,27,200,76,73
65,30,64,2,26,193,78,82
78,66,80,4,25,185,88,78
78,77,80,3,25,184,74,67
75,61,76,3,26,183,85,90
67,65,72,2,27,188,84,77
80,78,81,3,24,173,63,39
75,49,79,3,26,184,78,77
73,76,72,3,25,180,76,78
76,62,75,3,26,172,71,64
47,30,56,2,27,188,85,85
53,55,70,2,27,184,82,78
54,46,66,2,28,186,81,80
73,64,74,3,25,187,85,80
59,45,66,2,28,195,97,93
75,72,78,3,26,182,76,69
78,70,81,4,26,169,64,59
73,65,72,3,26,183,80,72
68,47,69,3,26,186,86,86
78,66,79,3,26,185,74,76
15,18,17,1,27,189,80,70
80,85,80,4,26,181,85,82
52,50,62,2,29,187,83,91
81,70,79,4,27,184,82,77
71,72,74,3,27,189,85,87
38,38,59,2,29,185,80,78
55,38,61,2,27,185,71,78
75,69,78,3,26,176,76,71
82,62,81,3,26,186,75,66
79,76,78,3,27,178,78,72
74,31,77,3,27,178,72,69
82,79,83,4,27,182,70,65
76,78,80,4,27,171,62,60
79,70,79,4,26,181,71,71
65,40,72,2,27,184,75,75
76,74,74,3,27,182,72,68
79,69,81,3,27,174,66,63
82,82,83,4,37,175,69,68
69,60,69,3,33,188,77,79
24,17,25,1,35,193,79,55
87,78,86,4,33,185,79,67
57,51,74,2,35,188,85,82
74,74,76,3,33,176,76,71
82,83,83,4,34,173,75,71
82,78,86,4,34,175,73,62
46,33,57,2,34,191,81,86
41,32,70,2,31,188,77,78
80,79,81,3,33,178,75,64
69,56,74,3,33,183,76,75
72,72,73,3,32,183,75,70
80,74,83,4,32,180,70,63
54,39,67,2,32,189,77,75
80,81,84,4,32,185,86,85
77,65,81,4,33,177,71,73
21,18,25,1,33,193,94,80
73,74,77,3,33,180,77,64
79,49,82,3,32,172,68,66
76,80,79,4,31,180,78,66
83,80,83,4,32,179,72,61
67,75,74,3,31,178,79,74
77,65,78,3,30,177,77,65
83,77,84,4,31,178,73,60
71,66,75,3,31,187,84,86
82,67,82,4,31,177,70,59
72,77,77,3,29,180,80,79
75,82,80,3,33,177,69,70
64,44,69,2,29,186,83,79
74,64,78,3,31,187,80,76
76,66,77,4,32,186,76,80
13,12,22,1,30,192,87,57
82,72,81,4,30,173,75,72
80,73,81,4,29,174,72,72
80,76,78,3,33,183,78,71
70,59,76,3,29,186,85,88
84,74,82,4,30,175,68,39
81,77,82,3,27,172,68,60
16,32,24,1,32,190,80,62
75,75,76,3,29,182,77,66
84,80,85,4,29,174,69,50
83,83,85,4,30,187,78,60
55,70,60,2,30,191,89,90
84,80,79,4,33,171,64,32
76,76,77,4,29,180,83,77
77,42,80,3,29,186,79,77
68,69,75,3,29,176,72,68
73,73,74,3,28,182,74,76
19,15,12,1,31,187,89,80
53,67,69,2,30,185,78,77
83,74,79,3,27,191,86,84
86,83,83,4,29,190,83,76
79,80,81,4,28,176,82,68
74,62,77,3,33,178,77,75
80,83,80,3,31,182,80,73
73,76,79,3,27,184,78,75
55,36,61,2,31,189,89,92
82,76,81,3,29,185,79,81
72,64,79,3,30,186,80,69
16,11,19,1,33,196,86,73
80,66,81,4,28,184,88,83
71,69,73,3,31,173,68,71
76,50,79,3,30,171,74,70
79,68,76,3,28,170,67,51
84,85,83,4,31,169,69,44
79,76,78,3,28,179,74,67
77,69,77,3,32,181,77,72
71,66,74,2,30,189,84,86
74,65,78,3,29,185,75,76
82,59,81,4,27,170,65,66
71,75,76,3,28,182,81,77
74,69,78,3,29,177,80,77
55,31,63,2,32,181,72,80
55,37,57,2,29,187,80,85
76,58,78,3,30,181,77,70
74,46,77,3,29,190,83,86
75,69,76,3,28,187,82,78
70,82,76,3,28,183,81,78
78,55,77,3,35,177,75,62
44,54,62,2,31,182,79,81
72,64,74,2,31,188,88,82
18,12,20,1,27,186,80,60
82,79,78,4,31,176,73,67
44,54,62,2,31,182,79,81
77,54,76,2,31,175,70,68
18,12,20,1,27,186,80,60
82,79,78,4,31,176,73,67
16,20,22,1,22,190,83,65
83,78,79,4,21,185,76,66
67,35,74,2,20,185,80,76
78,66,81,3,22,183,74,65
83,65,79,4,21,171,64,56
64,33,68,2,22,192,78,74
48,40,64,2,23,192,90,86
76,64,80,3,22,191,80,83
50,32,63,2,22,194,92,84
84,70,78,4,22,175,59,44
81,78,80,4,21,175,73,53
83,80,82,3,21,173,66,51
86,78,87,5,20,178,68,40
83,75,82,4,23,175,72,56
85,76,81,4,22,180,73,65
79,80,81,3,22,175,64,59
76,53,72,3,22,192,88,85
73,72,78,3,25,190,79,85
76,65,80,3,24,186,80,76
72,73,75,2,24,189,88,85
84,68,82,4,23,178,68,57
69,45,72,3,22,189,78,77
77,52,78,3,22,186,81,85
84,75,81,4,23,163,65,30
69,60,58,2,25,188,86,86
75,75,77,3,22,178,68,60
79,89,82,4,23,172,64,44
70,63,76,3,24,189,78,73
68,62,75,3,23,183,71,75
21,12,36,1,26,196,95,79
83,77,84,3,24,175,63,37
76,68,74,3,25,181,78,80
84,80,83,4,25,178,70,64
71,65,76,3,24,194,84,76
80,72,81,3,25,184,85,73
76,54,76,4,24,188,75,77
74,77,78,3,25,187,74,75
80,74,80,3,23,182,74,64
66,31,69,3,25,179,71,77
16,16,20,1,25,191,93,70
57,57,67,2,25,183,80,76
76,48,81,3,24,183,73,67
60,38,53,2,24,195,94,88
78,79,79,4,24,184,74,66
60,36,71,2,22,185,83,82
83,83,80,4,22,183,74,72
75,83,78,4,25,193,87,79
50,29,64,2,25,188,89,84
77,74,80,3,24,175,70,75
83,82,83,3,25,176,69,55
57,35,67,2,24,186,84,78
83,78,86,4,23,181,73,64
72,61,73,3,26,184,81,80
83,74,82,4,23,173,68,53
17,12,20,1,26,192,85,72
19,14,25,1,25,188,85,65
66,42,76,3,24,187,82,90
40,29,59,2,25,193,84,92
74,72,75,3,24,185,69,69
71,50,74,3,23,188,80,87
52,44,63,2,24,187,79,74
19,17,33,1,27,190,88,67
47,31,61,2,27,187,91,91
76,70,78,3,26,176,67,64
80,72,81,4,25,180,80,67
80,54,80,3,25,187,80,86
81,80,79,4,25,178,76,60
80,70,85,4,24,183,72,61
75,68,77,3,25,190,77,68
78,57,74,3,26,176,75,70
82,79,80,4,25,178,72,54
79,50,78,3,25,187,74,71
81,63,80,4,25,179,70,72
83,78,80,4,26,172,75,61
58,41,66,2,28,185,75,67
45,37,56,2,27,193,76,85
62,47,73,2,28,189,89,83
60,30,68,2,27,192,88,83
62,48,63,2,28,186,78,79
70,82,76,3,27,175,80,69
82,84,80,3,26,180,76,68
58,49,68,2,26,188,75,73
75,61,80,3,26,181,76,77
85,77,82,4,24,173,70,54
68,52,70,2,27,192,86,84
66,64,67,2,28,190,93,92
68,62,74,2,28,184,87,88
59,34,66,2,28,188,84,80
74,41,73,3,27,181,83,82
18,11,25,1,29,195,90,69
77,73,80,3,27,181,78,65
80,80,79,4,27,184,82,85
77,60,77,3,27,185,72,67
74,63,76,3,27,182,87,72
64,48,76,2,29,183,81,85
75,60,79,4,27,181,77,65
71,65,75,3,27,170,68,68
15,13,22,1,27,190,84,67
45,41,57,2,26,199,98,90
79,74,80,4,27,170,67,49
77,69,79,3,26,176,70,60
83,85,84,4,26,180,75,62
83,74,79,3,26,175,70,50
77,61,78,4,26,178,68,57
49,29,61,2,27,193,87,86
76,55,76,3,27,175,75,78
62,35,68,2,27,180,77,82
60,67,74,3,27,191,86,89
10,14,18,1,33,185,78,56
78,74,78,4,35,171,77,75
82,86,82,4,34,179,71,65
85,79,83,4,34,174,69,62
14,24,18,1,32,187,82,74
67,65,68,2,36,180,79,80
86,81,85,4,32,175,77,66
64,54,73,3,41,180,78,76
